Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occassion
Hyundai,Tucson,2015,229717,2016-12-20,Gaz,Automatique,150,Euro 5,Bleu,Crossover,Italie,35000,20400.0
Mercedes,GLC,2020,32938,2021-01-12,Gaz,Automatique,200,Euro 6,Noir,Berline,Espagne,85000,76925.0
Hyundai,i20,2014,48528,2016-06-27,Hybride,Automatique,110,Euro 1,Bleu,Crossover,Italie,19500,16896.0
Porsche,911 Turbo,2022,187966,2023-09-12,Hybride,Automatique,150,Euro 1,Rouge,Monospace,USA,217386,170153.36
Renault,Megane,2016,179054,2019-10-18,Hybride,Automatique,130,Euro 1,Noir,Break,France,25000,18467.0
Volkswagen,Passat,2018,160438,2019-04-22,Hybride,Manuelle,90,Euro 1,Blanc,SUV,Italie,36000,26334.0
Citroen,C5 X,2011,130823,2013-01-07,Essence,Automatique,90,Euro 4,Rouge,Break,France,36700,18528.0
Hyundai,i20,2024,12769,2027-10-31,Hybride,Manuelle,150,Euro 1,Rouge,Crossover,Japon,19500,23760.0
Dacia,Bigster,2007,216781,2008-03-09,Essence,Manuelle,90,Euro 3,Blanc,Break,Italie,25000,6972.0
Ford,Mustang,2015,146535,2017-03-14,Diesel,Manuelle,200,Euro 5,Rouge,Crossover,Japon,59300,36167.0
Kia,Sportage,2019,136064,2020-06-01,Diesel,Manuelle,200,Euro 5,Gris,Monospace,France,48039,36028.08
Nissan,Qashqai,2007,191200,2010-07-14,Diesel,Automatique,200,Euro 3,Blanc,SUV,Allemagne,34700,11610.0
Audi,Q5,2012,219281,2013-07-01,Gaz,Manuelle,90,Euro 4,Gris,Break,Italie,65000,28982.0
Dacia,Bigster,2014,212340,2017-06-14,Gaz,Manuelle,200,Euro 4,Bleu,SUV,Espagne,25000,13965.0
Ford,Bronco,2014,178198,2017-02-02,Diesel,Automatique,200,Euro 4,Bleu,Crossover,Espagne,76500,42665.0
BMW,X5,2006,55098,2008-02-17,Diesel,Manuelle,150,Euro 3,Bleu,Monospace,Italie,80000,33415.0
Renault,Captur,2023,132079,2024-11-01,Essence,Automatique,150,Euro 6,Noir,Crossover,Allemagne,28000,25620.0
Tesla,Model X,2020,129531,2021-04-22,Electrique,Automatique,150,Euro 1,Gris,Monospace,Allemagne,120000,97660.0
Renault,Talisman,2005,181696,2006-03-30,Diesel,Automatique,150,Euro 3,Bleu,Crossover,Japon,40000,10875.0
Hyundai,Tucson,2008,219566,2008-08-06,Essence,Manuelle,150,Euro 3,Gris,SUV,Japon,35000,11005.0
Mercedes,GLC,2008,134093,2009-05-25,Diesel,Automatique,90,Euro 3,Blanc,Monospace,France,85000,34281.0
Tesla,Model S,2005,90885,2008-04-29,Electrique,Manuelle,90,Euro 1,Bleu,Break,France,95000,34306.0
Hyundai,Tucson,2012,226074,2014-12-05,Diesel,Automatique,90,Euro 4,Noir,Berline,Allemagne,35000,15918.0
Ford,Mustang,2012,77003,2015-09-30,Essence,Automatique,110,Euro 4,Blanc,Crossover,Espagne,59300,34998.0
Volkswagen,Golf,2011,234794,2013-04-17,Hybride,Automatique,130,Euro 1,Blanc,Break,USA,25000,11894.0
Toyota,Corolla,2023,248951,2026-12-27,Electrique,Automatique,90,Euro 1,Noir,Monospace,Allemagne,28000,26207.0
Ford,Kuga,2013,149840,2016-06-29,Gaz,Automatique,90,Euro 4,Blanc,Crossover,Espagne,34000,20352.0
Mercedes,Classe A,2010,108901,2012-05-25,Hybride,Manuelle,200,Euro 1,Bleu,Crossover,France,38000,20640.0
Tesla,Model 3,2011,127337,2012-02-27,Electrique,Manuelle,110,Euro 1,Gris,SUV,France,45000,25039.0
Peugeot,5008,2007,210713,2008-06-29,Gaz,Manuelle,150,Euro 3,Bleu,Break,Allemagne,42000,12600.0
Audi,A3,2015,50349,2018-07-20,Hybride,Automatique,150,Euro 1,Rouge,Crossover,USA,34000,27540.0
Mercedes,GLC,2018,176747,2019-01-08,Electrique,Automatique,150,Euro 1,Rouge,Berline,Italie,85000,60775.0
BMW,Serie 5,2013,195274,2014-02-22,Gaz,Automatique,90,Euro 4,Noir,Crossover,Allemagne,65000,33312.0
Porsche,911 GT3,2010,98180,2011-06-24,Hybride,Automatique,200,Euro 1,Rouge,Crossover,France,212200,107408.0
Mercedes,Classe C,2005,117584,2008-11-19,Diesel,Automatique,200,Euro 3,Noir,Break,France,55000,18880.0
Renault,Captur,2015,154685,2018-11-22,Gaz,Automatique,130,Euro 5,Bleu,Monospace,Espagne,28000,19024.0
Nissan,X-Trail,2005,209791,2006-12-23,Gaz,Automatique,90,Euro 3,Rouge,Monospace,Espagne,43800,11086.0
Mercedes,GLC,2005,139313,2005-06-26,Essence,Automatique,90,Euro 3,Rouge,SUV,USA,85000,26070.0
BMW,X5,2009,144559,2009-02-11,Essence,Manuelle,150,Euro 3,Gris,Crossover,USA,80000,33005.0
Tesla,Model 3,2009,208979,2009-03-26,Electrique,Automatique,150,Euro 1,Bleu,Break,Espagne,45000,18725.0
Audi,A6,2010,206811,2012-01-10,Hybride,Automatique,90,Euro 1,Gris,Monospace,Espagne,72000,29602.0
Porsche,Carrera 4 GTS Cabriolet,2009,14708,2011-08-24,Essence,Automatique,200,Euro 3,Rouge,Crossover,France,197400,108216.0
Tesla,Model X,2021,49454,2021-06-04,Electrique,Automatique,90,Euro 1,Bleu,SUV,France,120000,111273.0
Volkswagen,Golf,2005,59070,2006-12-24,Gaz,Automatique,150,Euro 3,Rouge,SUV,Espagne,25000,11400.0
Nissan,Qashqai,2010,168384,2010-07-08,Hybride,Automatique,110,Euro 1,Gris,Crossover,Allemagne,34700,17136.0
Dacia,Duster,2018,19331,2020-08-21,Hybride,Manuelle,90,Euro 1,Noir,Break,France,19900,19278.0
Mercedes,Classe E,2014,76572,2015-10-06,Gaz,Automatique,200,Euro 4,Noir,Break,Italie,75000,50715.0
Renault,Talisman,2005,36149,2008-02-24,Diesel,Automatique,200,Euro 3,Noir,Break,Allemagne,40000,17600.0
Nissan,X-Trail,2016,121523,2017-01-12,Essence,Automatique,200,Euro 5,Blanc,Monospace,Allemagne,43800,29952.0
Tesla,Model X,2005,12512,2006-07-05,Electrique,Automatique,130,Euro 1,Rouge,SUV,France,120000,53886.0
Peugeot,5008,2020,83745,2023-11-27,Diesel,Manuelle,90,Euro 6,Noir,Berline,USA,42000,34320.0
Citroen,C5 Aircross,2012,39072,2015-11-02,Hybride,Automatique,200,Euro 1,Bleu,Crossover,Espagne,35000,25620.0
Toyota,Yaris,2007,16745,2007-06-17,Essence,Manuelle,110,Euro 3,Gris,SUV,Espagne,19000,9168.0
Audi,Q5,2015,50016,2017-09-09,Essence,Manuelle,90,Euro 5,Noir,SUV,Japon,65000,44132.0
Tesla,Model X,2010,136450,2010-04-09,Electrique,Automatique,130,Euro 1,Blanc,Berline,Espagne,120000,57735.0
Volkswagen,Tiguan,2016,145223,2016-01-12,Essence,Manuelle,90,Euro 5,Gris,SUV,Allemagne,40000,24738.0
BMW,Serie 3,2006,132453,2009-12-25,Diesel,Manuelle,150,Euro 3,Gris,Berline,Espagne,45000,15345.0
Tesla,Model 3,2006,99293,2006-09-04,Electrique,Manuelle,200,Euro 1,Gris,Break,Italie,45000,19240.0
Porsche,911 GT3,2022,142939,2023-12-04,Essence,Manuelle,150,Euro 6,Noir,Crossover,USA,212200,170160.0
Renault,Captur,2005,158053,2005-09-11,Gaz,Manuelle,130,Euro 3,Noir,Break,Italie,28000,8624.0
Audi,A4,2022,232004,2024-06-02,Diesel,Automatique,110,Euro 6,Bleu,SUV,Italie,48000,36281.0
Kia,Sportage,2008,92010,2010-03-22,Essence,Manuelle,110,Euro 3,Gris,Berline,Espagne,48039,20699.77
Kia,Niro,2019,29788,2022-04-08,Electrique,Manuelle,110,Euro 1,Rouge,Berline,USA,39811,38106.13
Kia,Sportage,2017,138593,2019-11-12,Diesel,Automatique,150,Euro 5,Noir,Monospace,Italie,48039,34015.74
Tesla,Model S,2021,166622,2024-10-08,Electrique,Manuelle,200,Euro 1,Bleu,Break,USA,95000,76500.0
Volkswagen,Arteon,2018,95428,2019-06-16,Hybride,Automatique,90,Euro 1,Rouge,Berline,Japon,48000,39347.0
Hyundai,i20,2015,103627,2016-06-13,Hybride,Manuelle,90,Euro 1,Rouge,Crossover,USA,19500,14742.0
Ford,Focus,2010,57823,2011-08-27,Essence,Manuelle,110,Euro 4,Gris,Break,USA,30550,16244.5
Mercedes,GLC,2024,182956,2027-03-07,Hybride,Automatique,90,Euro 1,Noir,SUV,Espagne,85000,74538.0
BMW,X5,2005,56728,2005-05-01,Essence,Automatique,200,Euro 3,Noir,Monospace,USA,80000,31540.0
Ford,Focus,2009,68270,2010-07-03,Gaz,Automatique,150,Euro 3,Bleu,Crossover,USA,30550,17419.5
Tesla,Model X,2018,101227,2019-12-15,Electrique,Manuelle,110,Euro 1,Gris,Crossover,Allemagne,120000,90792.0
Renault,Captur,2011,64016,2011-03-13,Hybride,Automatique,200,Euro 1,Blanc,Break,Japon,28000,19250.0
Audi,A4,2009,110544,2009-04-17,Diesel,Manuelle,130,Euro 3,Noir,SUV,USA,48000,21692.0
Volkswagen,Passat,2011,115532,2012-03-26,Gaz,Automatique,90,Euro 4,Blanc,Berline,Allemagne,36000,20200.0
Mercedes,GLC,2013,235578,2015-08-25,Diesel,Manuelle,110,Euro 4,Rouge,Crossover,Espagne,85000,37884.0
Dacia,Sandero,2019,75505,2019-05-02,Gaz,Manuelle,130,Euro 5,Rouge,Crossover,Japon,15900,14586.0
Kia,EV6,2024,138638,2025-10-24,Gaz,Manuelle,110,Euro 6,Bleu,Break,Allemagne,64607,58470.09
Renault,Talisman,2014,178708,2016-06-09,Gaz,Automatique,150,Euro 4,Noir,Monospace,France,40000,23850.0
Kia,EV6,2005,163421,2005-01-31,Essence,Manuelle,110,Euro 3,Blanc,Berline,USA,64607,17470.89
BMW,Serie 5,2021,165775,2022-06-25,Diesel,Automatique,200,Euro 6,Rouge,Berline,France,65000,51750.0
Ford,Focus,2006,195322,2007-07-25,Gaz,Automatique,130,Euro 3,Gris,Berline,Japon,30550,9544.5
BMW,Serie 5,2007,99472,2009-10-09,Diesel,Automatique,150,Euro 3,Rouge,Break,Italie,65000,27400.0
Ford,Mustang,2010,201726,2013-11-06,Gaz,Manuelle,90,Euro 4,Noir,Berline,France,59300,23446.0
Kia,Sportage,2015,185707,2016-07-05,Gaz,Manuelle,150,Euro 5,Gris,Berline,USA,48039,28071.45
Peugeot,208,2011,137391,2013-04-11,Hybride,Manuelle,90,Euro 1,Rouge,Berline,Allemagne,18000,10512.0
Dacia,Duster,2018,228365,2021-05-05,Diesel,Manuelle,150,Euro 5,Gris,Crossover,Japon,19900,12840.0
Kia,Niro,2017,23274,2019-08-30,Gaz,Automatique,90,Euro 5,Blanc,SUV,Espagne,39811,34042.47
BMW,Serie 3,2024,192085,2024-09-09,Diesel,Manuelle,110,Euro 6,Bleu,SUV,Japon,45000,37341.0
Kia,EV6,2022,56434,2022-11-24,Electrique,Automatique,90,Euro 1,Noir,Monospace,Italie,64607,64531.23
Dacia,Spring,2022,10283,2022-04-24,Electrique,Manuelle,200,Euro 1,Bleu,Crossover,Japon,22000,26970.0
BMW,X5,2014,216857,2014-11-29,Hybride,Automatique,90,Euro 1,Noir,Crossover,Italie,80000,42091.0
Peugeot,308,2021,117230,2021-05-12,Hybride,Manuelle,90,Euro 1,Bleu,Berline,USA,30000,27120.0
Dacia,Duster,2018,18295,2021-07-20,Essence,Manuelle,90,Euro 5,Bleu,SUV,France,19900,16038.0
BMW,X5,2020,235560,2022-05-26,Hybride,Automatique,90,Euro 1,Blanc,Monospace,Japon,80000,55835.0
Audi,A4,2018,31065,2019-03-08,Essence,Manuelle,200,Euro 5,Rouge,Crossover,Espagne,48000,38710.0
Porsche,Carrera 4 GTS Cabriolet,2009,133607,2012-07-25,Hybride,Manuelle,130,Euro 1,Noir,Berline,France,197400,84714.0
Peugeot,308,2010,191877,2012-09-08,Hybride,Manuelle,200,Euro 1,Rouge,Crossover,Allemagne,30000,13650.0
Toyota,Corolla,2017,230988,2018-01-28,Diesel,Manuelle,150,Euro 5,Gris,Monospace,Allemagne,28000,16520.0
Mercedes,Classe A,2005,37134,2006-07-01,Gaz,Manuelle,200,Euro 3,Blanc,Monospace,Espagne,38000,16600.0
Volkswagen,Tiguan,2015,130227,2015-10-18,Diesel,Automatique,110,Euro 5,Gris,SUV,France,40000,25860.0
Hyundai,i20,2014,54988,2016-05-18,Hybride,Automatique,90,Euro 1,Gris,Crossover,Japon,19500,16510.0
Kia,Proceed,2018,70687,2019-05-24,Gaz,Manuelle,150,Euro 5,Noir,Break,Espagne,33000,27000.0
Dacia,Bigster,2017,72277,2018-08-31,Gaz,Manuelle,90,Euro 5,Bleu,Berline,France,25000,19728.0
Toyota,Yaris,2016,42866,2017-02-27,Essence,Automatique,110,Euro 5,Rouge,SUV,Allemagne,19000,15192.0
Nissan,X-Trail,2019,181973,2020-01-02,Gaz,Manuelle,130,Euro 5,Noir,Crossover,USA,43800,31222.0
Mercedes,Classe E,2020,206739,2021-09-14,Gaz,Automatique,200,Euro 6,Bleu,Monospace,Espagne,75000,54740.0
Tesla,Model 3,2014,208376,2014-05-26,Electrique,Automatique,110,Euro 1,Blanc,Break,Japon,45000,26550.0
Toyota,Corolla,2012,236547,2015-12-11,Essence,Automatique,130,Euro 4,Rouge,Berline,USA,28000,12423.0
Renault,Talisman,2024,236042,2024-07-23,Electrique,Automatique,150,Euro 1,Bleu,Monospace,Japon,40000,37345.0
Tesla,Model X,2015,104447,2017-01-27,Electrique,Manuelle,110,Euro 1,Noir,Berline,Japon,120000,79443.0
Hyundai,i30,2014,131984,2015-10-03,Diesel,Automatique,200,Euro 4,Blanc,SUV,France,22000,14820.0
Peugeot,208,2019,173772,2020-10-02,Diesel,Automatique,200,Euro 5,Gris,Monospace,Espagne,18000,14960.0
Kia,EV6,2013,233656,2016-05-06,Hybride,Automatique,200,Euro 1,Noir,Break,Italie,64607,31507.08
Audi,A6,2023,157920,2025-12-05,Essence,Manuelle,150,Euro 6,Bleu,Break,USA,72000,59450.0
Audi,A3,2014,37951,2016-02-04,Gaz,Automatique,90,Euro 4,Rouge,Crossover,USA,34000,25728.0
Ford,Focus,2016,88674,2018-03-04,Diesel,Manuelle,110,Euro 5,Rouge,Break,Japon,30550,21522.0
Volkswagen,Passat,2007,226165,2008-03-09,Gaz,Automatique,150,Euro 3,Rouge,Berline,USA,36000,11070.0
Renault,Talisman,2005,65702,2007-07-31,Gaz,Automatique,150,Euro 3,Blanc,Berline,Espagne,40000,16650.0
Ford,Kuga,2006,202473,2009-01-01,Diesel,Automatique,200,Euro 3,Noir,SUV,France,34000,9880.0
Dacia,Bigster,2006,99312,2009-09-23,Essence,Automatique,110,Euro 3,Noir,SUV,France,25000,10027.0
Kia,Proceed,2012,92908,2012-09-28,Essence,Manuelle,200,Euro 4,Gris,Crossover,Allemagne,33000,18700.0
Mercedes,GLC,2016,143895,2018-10-19,Diesel,Automatique,150,Euro 5,Rouge,Monospace,Italie,85000,54870.0
Mercedes,Classe E,2005,23497,2006-03-05,Essence,Manuelle,110,Euro 3,Bleu,Crossover,Italie,75000,30791.0
Nissan,Qashqai,2023,47196,2024-07-08,Gaz,Manuelle,200,Euro 6,Gris,Crossover,Allemagne,34700,35526.0
Dacia,Bigster,2021,137714,2024-09-17,Gaz,Automatique,90,Euro 6,Noir,Break,France,25000,22932.0
Kia,Niro,2013,135920,2013-06-22,Diesel,Automatique,90,Euro 4,Rouge,Monospace,USA,39811,23063.94
Hyundai,i20,2008,95201,2010-02-25,Gaz,Automatique,130,Euro 3,Rouge,Monospace,Allemagne,19500,10449.0
Ford,Mustang,2011,24817,2014-12-30,Hybride,Automatique,150,Euro 1,Gris,Crossover,Italie,59300,38822.0
Citroen,C4,2021,247310,2021-12-26,Diesel,Manuelle,110,Euro 6,Blanc,Berline,Japon,24000,16817.0
Ford,Kuga,2010,16474,2012-05-15,Gaz,Manuelle,90,Euro 4,Noir,Berline,Espagne,34000,20748.0
Renault,Megane,2018,139225,2020-09-03,Diesel,Manuelle,90,Euro 5,Rouge,SUV,Espagne,25000,17871.0
Audi,A3,2008,151964,2010-08-22,Gaz,Manuelle,200,Euro 3,Noir,Crossover,Japon,34000,13875.0
BMW,Serie 3,2019,92009,2019-06-20,Diesel,Automatique,200,Euro 5,Gris,SUV,Japon,45000,37240.0
Ford,Bronco,2011,147796,2013-03-14,Essence,Manuelle,90,Euro 4,Noir,SUV,France,76500,35908.0
Toyota,Hilux,2021,120147,2022-03-07,Hybride,Automatique,110,Euro 1,Noir,Berline,France,45000,40369.0
Peugeot,208,2005,245364,2006-01-28,Essence,Manuelle,150,Euro 3,Blanc,Crossover,USA,18000,3515.0
Volkswagen,Golf,2019,175399,2022-07-02,Essence,Automatique,200,Euro 5,Blanc,Crossover,Allemagne,25000,19040.0
Audi,A4,2017,16881,2019-02-20,Hybride,Manuelle,110,Euro 1,Blanc,Berline,Espagne,48000,40638.0
Peugeot,5008,2008,104030,2011-06-04,Diesel,Automatique,150,Euro 3,Gris,Berline,Allemagne,42000,19110.0
Ford,Kuga,2005,123135,2008-11-20,Essence,Automatique,90,Euro 3,Gris,Berline,Allemagne,34000,11129.0
Hyundai,Tucson,2023,22468,2024-09-23,Diesel,Automatique,150,Euro 6,Noir,Break,France,35000,36575.0
Porsche,Taycan 4 Cross Turismmo,2023,92095,2024-09-23,Essence,Manuelle,90,Euro 6,Gris,Monospace,Espagne,117450,103268.0
Renault,Clio,2016,31187,2018-10-13,Diesel,Manuelle,130,Euro 5,Noir,SUV,Japon,17000,13359.0
BMW,Serie 1,2014,221041,2016-11-11,Diesel,Automatique,130,Euro 4,Blanc,Berline,Japon,35000,18384.0
Toyota,RAV4,2014,140185,2015-08-30,Gaz,Manuelle,130,Euro 4,Blanc,SUV,USA,37000,22288.0
Ford,Bronco,2012,109426,2013-06-05,Essence,Automatique,200,Euro 4,Gris,Crossover,Japon,76500,42930.0
Tesla,Model 3,2006,230602,2006-12-26,Electrique,Manuelle,130,Euro 1,Bleu,SUV,USA,45000,11799.0
Ford,Kuga,2021,159509,2022-11-07,Hybride,Automatique,130,Euro 1,Noir,Berline,France,34000,30628.0
Porsche,911 Turbo,2021,73629,2024-12-23,Hybride,Manuelle,150,Euro 1,Gris,Break,Allemagne,217386,186384.24
Audi,A3,2008,69157,2010-07-07,Diesel,Manuelle,90,Euro 3,Gris,Crossover,Italie,34000,16054.0
Citroen,C5 X,2020,49553,2022-05-27,Gaz,Automatique,150,Euro 6,Blanc,Berline,Espagne,36700,35028.0
Audi,A6,2011,83341,2013-12-21,Hybride,Manuelle,130,Euro 1,Bleu,Berline,France,72000,40439.0
Kia,Sportage,2023,69428,2024-02-19,Gaz,Manuelle,200,Euro 6,Blanc,SUV,Allemagne,48039,46900.49
Volkswagen,Passat,2017,166357,2019-12-15,Gaz,Manuelle,130,Euro 5,Bleu,SUV,France,36000,24444.0
Toyota,RAV4,2015,12443,2017-11-18,Hybride,Manuelle,150,Euro 1,Bleu,Break,Allemagne,37000,29880.0
Toyota,Corolla,2005,48136,2007-09-20,Gaz,Automatique,150,Euro 3,Noir,Monospace,Japon,28000,12870.0
Dacia,Sandero,2016,154656,2019-10-14,Diesel,Manuelle,90,Euro 5,Bleu,Monospace,Espagne,15900,10248.0
Audi,A4,2020,22259,2021-03-08,Electrique,Manuelle,200,Euro 1,Bleu,Berline,Allemagne,48000,47300.0
Toyota,Hilux,2016,99429,2019-04-27,Gaz,Manuelle,110,Euro 5,Noir,Crossover,Italie,45000,31892.0
Ford,Mustang,2006,247854,2009-03-14,Diesel,Manuelle,150,Euro 3,Blanc,Break,Japon,59300,13376.0
Renault,Clio,2017,244893,2017-05-25,Gaz,Manuelle,90,Euro 5,Gris,Break,Allemagne,17000,10670.0
Mercedes,Classe E,2017,152570,2020-09-14,Diesel,Manuelle,110,Euro 5,Blanc,Crossover,Allemagne,75000,48704.0
Volkswagen,Tiguan,2013,105810,2015-10-07,Hybride,Automatique,110,Euro 1,Gris,Berline,Allemagne,40000,26277.0
Peugeot,208,2020,13980,2023-04-01,Hybride,Manuelle,150,Euro 1,Rouge,Monospace,Italie,18000,19575.0
Volkswagen,Golf,2016,188335,2018-08-23,Essence,Automatique,200,Euro 5,Blanc,Monospace,Japon,25000,16240.0
Mercedes,GLC,2005,211113,2006-02-21,Essence,Manuelle,110,Euro 3,Gris,SUV,USA,85000,18722.0
Renault,Talisman,2016,67875,2017-07-30,Hybride,Manuelle,150,Euro 1,Noir,SUV,USA,40000,31150.0
Citroen,C5 X,2014,139114,2014-05-09,Diesel,Manuelle,90,Euro 4,Blanc,Crossover,Allemagne,36700,21432.0
Audi,Q5,2006,21023,2007-05-08,Essence,Automatique,110,Euro 3,Bleu,Crossover,Espagne,65000,29524.0
Kia,Niro,2011,110842,2012-10-02,Hybride,Automatique,110,Euro 1,Bleu,Break,Italie,39811,22955.5
Citroen,C4,2009,222343,2011-06-10,Essence,Manuelle,90,Euro 3,Blanc,Monospace,Japon,24000,7887.0
Dacia,Spring,2007,57521,2010-02-03,Essence,Automatique,90,Euro 3,Blanc,SUV,Allemagne,22000,10516.0
Toyota,Hilux,2022,188980,2023-08-08,Diesel,Manuelle,130,Euro 6,Blanc,Monospace,Japon,45000,35188.0
Mercedes,Classe C,2005,128650,2005-08-19,Diesel,Manuelle,90,Euro 3,Noir,Break,Japon,55000,17329.0
Dacia,Bigster,2006,238950,2006-10-12,Diesel,Automatique,130,Euro 3,Blanc,Monospace,France,25000,6509.0
Hyundai,i30,2006,167231,2006-12-25,Essence,Automatique,90,Euro 3,Noir,SUV,Allemagne,22000,7170.0
Mercedes,GLC,2020,74921,2020-05-13,Electrique,Automatique,150,Euro 1,Rouge,Break,France,85000,75735.0
BMW,X5,2024,133237,2026-08-25,Essence,Automatique,90,Euro 6,Blanc,Break,USA,80000,71253.0
Tesla,Model X,2012,21262,2013-10-17,Electrique,Manuelle,150,Euro 1,Noir,Berline,Japon,120000,78430.0
BMW,Serie 1,2005,65655,2008-08-14,Diesel,Manuelle,150,Euro 3,Gris,Berline,Japon,35000,13505.0
Tesla,Model 3,2015,139137,2016-02-19,Electrique,Manuelle,130,Euro 1,Blanc,Berline,USA,45000,30780.0
Ford,Focus,2006,78932,2006-04-25,Gaz,Manuelle,110,Euro 3,Noir,SUV,Espagne,30550,12928.5
Ford,Bronco,2016,208060,2019-04-26,Hybride,Automatique,200,Euro 1,Blanc,Berline,Espagne,76500,46760.0
Renault,Clio,2022,80121,2022-09-05,Essence,Automatique,200,Euro 6,Blanc,Crossover,France,17000,17200.0
BMW,X5,2012,23963,2012-02-15,Diesel,Manuelle,150,Euro 4,Bleu,Crossover,Italie,80000,50530.0
Renault,Talisman,2005,74282,2008-06-04,Diesel,Manuelle,130,Euro 3,Gris,Berline,France,40000,14868.0
Peugeot,208,2021,26639,2022-12-24,Diesel,Manuelle,150,Euro 6,Rouge,Break,Japon,18000,17355.0
Nissan,Ariya,2018,12850,2018-06-02,Diesel,Automatique,110,Euro 5,Blanc,Crossover,France,39300,34344.0
BMW,Serie 1,2014,66508,2016-04-04,Essence,Automatique,150,Euro 4,Bleu,Berline,Italie,35000,24000.0
Nissan,Leaf,2022,52856,2024-07-14,Gaz,Automatique,130,Euro 6,Noir,Crossover,Italie,33000,33642.0
Renault,Megane,2014,176935,2015-01-05,Diesel,Automatique,150,Euro 4,Noir,Berline,Allemagne,25000,15105.0
Peugeot,3008,2010,135209,2013-11-06,Hybride,Automatique,90,Euro 1,Gris,Break,USA,35000,18405.0
Mercedes,Classe A,2013,104202,2016-03-12,Gaz,Automatique,130,Euro 4,Gris,Break,Espagne,38000,24396.0
Tesla,Model X,2013,229939,2014-08-04,Electrique,Manuelle,90,Euro 1,Gris,Break,Allemagne,120000,56655.0
Kia,Sportage,2022,241725,2024-09-18,Diesel,Automatique,110,Euro 6,Noir,Monospace,Allemagne,48039,35797.3
Peugeot,3008,2019,119437,2020-09-17,Electrique,Manuelle,150,Euro 1,Gris,Monospace,Espagne,35000,30710.0
Ford,Bronco,2006,154937,2009-11-06,Essence,Manuelle,90,Euro 3,Bleu,Monospace,Italie,76500,23684.0
Renault,Clio,2013,227188,2015-09-21,Diesel,Manuelle,150,Euro 4,Bleu,Berline,USA,17000,8325.0
Tesla,Model X,2020,201390,2023-04-23,Electrique,Automatique,90,Euro 1,Noir,Monospace,Japon,120000,86972.0
Ford,Bronco,2014,140680,2017-06-05,Gaz,Automatique,90,Euro 4,Rouge,SUV,Japon,76500,45304.0
Volkswagen,Arteon,2015,33921,2018-09-29,Gaz,Manuelle,150,Euro 5,Rouge,Monospace,Japon,48000,35700.0
Nissan,Qashqai,2012,148212,2015-08-19,Essence,Automatique,130,Euro 4,Bleu,Break,France,34700,18500.0
Peugeot,208,2009,210148,2012-02-09,Diesel,Manuelle,130,Euro 3,Gris,Crossover,France,18000,6562.0
BMW,X5,2024,17592,2025-01-03,Electrique,Manuelle,130,Euro 1,Blanc,Break,Espagne,80000,85437.0
Tesla,Model 3,2024,56652,2025-03-14,Electrique,Automatique,110,Euro 1,Rouge,Monospace,Italie,45000,50445.0
Toyota,Yaris,2016,96342,2019-07-09,Diesel,Manuelle,90,Euro 5,Blanc,Monospace,France,19000,13333.0
Kia,Proceed,2018,125257,2020-09-14,Hybride,Automatique,130,Euro 1,Blanc,Break,Espagne,33000,27510.0
Porsche,Carrera 4 GTS Cabriolet,2015,41685,2016-11-25,Hybride,Manuelle,130,Euro 1,Rouge,Break,France,197400,139173.0
Toyota,Yaris,2024,10949,2025-04-04,Gaz,Manuelle,90,Euro 6,Bleu,Break,France,19000,21186.0
Porsche,911 Turbo,2013,193917,2015-02-19,Essence,Automatique,110,Euro 4,Gris,Break,Espagne,217386,105353.28
Tesla,Model X,2023,100603,2026-07-03,Electrique,Manuelle,130,Euro 1,Gris,Crossover,USA,120000,109881.0
Volkswagen,Arteon,2012,194765,2013-03-11,Gaz,Manuelle,130,Euro 4,Rouge,Berline,Allemagne,48000,22860.0
Renault,Megane,2023,34270,2025-08-10,Electrique,Automatique,150,Euro 1,Bleu,Monospace,Allemagne,25000,31490.0
Mercedes,GLC,2012,128245,2014-01-04,Diesel,Manuelle,110,Euro 4,Rouge,Break,Japon,85000,44772.0
Toyota,RAV4,2013,168034,2015-08-20,Diesel,Automatique,110,Euro 4,Rouge,Monospace,Italie,37000,20451.0
Porsche,Carrera 4 GTS Cabriolet,2017,42764,2020-05-29,Hybride,Manuelle,150,Euro 1,Gris,Berline,Espagne,197400,151425.0
Kia,Niro,2012,79326,2013-03-18,Hybride,Automatique,130,Euro 1,Blanc,Break,Japon,39811,26283.27
Nissan,Ariya,2009,217614,2012-05-14,Diesel,Automatique,200,Euro 3,Noir,Break,Japon,39300,14722.0
Toyota,RAV4,2009,69835,2011-07-14,Gaz,Manuelle,90,Euro 3,Noir,Berline,Japon,37000,19306.0
Tesla,Model 3,2020,219366,2023-03-15,Electrique,Automatique,110,Euro 1,Blanc,SUV,Espagne,45000,35577.0
Renault,Talisman,2012,145117,2013-06-15,Gaz,Manuelle,200,Euro 4,Noir,Berline,Italie,40000,21750.0
BMW,X5,2016,216959,2018-10-29,Hybride,Manuelle,150,Euro 1,Rouge,Crossover,USA,80000,46475.0
Audi,Q5,2006,242185,2009-01-12,Diesel,Manuelle,200,Euro 3,Noir,SUV,France,65000,14740.0
Tesla,Model S,2014,219468,2016-10-01,Electrique,Manuelle,110,Euro 1,Bleu,SUV,Espagne,95000,49539.0
